"DATE","YEARMODA","Day","Month","Year","Tmin","Tmax"
1958-05-10,1958510,10,5,1958,13.5,19
1958-05-11,1958511,11,5,1958,9.6,14.8
1958-05-12,1958512,12,5,1958,6,14
1958-05-13,1958513,13,5,1958,9,16.9
1958-05-14,1958514,14,5,1958,9,18
1958-05-15,1958515,15,5,1958,8.2,14.5
1958-05-16,1958516,16,5,1958,5.2,14.4
1958-05-17,1958517,17,5,1958,6.5,14.2
1958-05-18,1958518,18,5,1958,12.4,15.9
1958-05-19,1958519,19,5,1958,7.9,20.9
1958-05-20,1958520,20,5,1958,9,25.8
1958-05-21,1958521,21,5,1958,5.1,14.9
1958-05-22,1958522,22,5,1958,10.1,16.4
1958-05-23,1958523,23,5,1958,11,19.9
1958-05-24,1958524,24,5,1958,11,18.2
1958-05-25,1958525,25,5,1958,10,17
1958-05-26,1958526,26,5,1958,7.2,18.3
1958-05-27,1958527,27,5,1958,9,16.3
1958-05-28,1958528,28,5,1958,5.9,16.9
1958-05-29,1958529,29,5,1958,9.5,19.8
1958-05-30,1958530,30,5,1958,6.8,17.8
1958-05-31,1958531,31,5,1958,8.5,20.5
1958-06-01,195861,1,6,1958,10.7,24.7
1958-06-02,195862,2,6,1958,13,26.8
1958-06-03,195863,3,6,1958,10,18.2
1958-06-04,195864,4,6,1958,9.5,13.9
1958-06-05,195865,5,6,1958,8,19.9
1958-06-06,195866,6,6,1958,12.4,22.9
1958-06-07,195867,7,6,1958,7.8,22.6
1958-06-08,195868,8,6,1958,10.6,22.2
1958-06-09,195869,9,6,1958,10.7,18.5
1958-06-10,1958610,10,6,1958,5.2,17.7
1958-06-11,1958611,11,6,1958,8.7,17.6
1958-06-12,1958612,12,6,1958,4,14.5
1958-06-13,1958613,13,6,1958,4.5,15.8
1958-06-14,1958614,14,6,1958,5.3,21.9
1958-06-15,1958615,15,6,1958,5,22.9
1958-06-16,1958616,16,6,1958,11.8,26.5
1958-06-17,1958617,17,6,1958,12.4,27
1958-06-18,1958618,18,6,1958,6.5,14.5
1958-06-19,1958619,19,6,1958,12.5,19.5
1958-06-20,1958620,20,6,1958,9.5,15.9
1958-06-21,1958621,21,6,1958,9.5,17
1958-06-22,1958622,22,6,1958,9.5,19
1958-06-23,1958623,23,6,1958,9,17.4
1958-06-24,1958624,24,6,1958,7.3,17.2
1958-06-25,1958625,25,6,1958,12.5,17.9
1958-06-26,1958626,26,6,1958,11.8,18.1
1958-06-27,1958627,27,6,1958,10.6,14.7
1958-06-28,1958628,28,6,1958,12.8,18.8
1958-06-29,1958629,29,6,1958,10.5,19.8
1958-06-30,1958630,30,6,1958,13.1,23.8
1958-07-01,195871,1,7,1958,15,25.8
1958-07-02,195872,2,7,1958,11.7,18.7
1958-07-03,195873,3,7,1958,9.5,18.6
1958-07-04,195874,4,7,1958,13.1,20.1
1958-07-05,195875,5,7,1958,13,19.5
1958-07-06,195876,6,7,1958,12.7,19.2
1958-07-07,195877,7,7,1958,12.8,15.8
1958-07-08,195878,8,7,1958,9.6,19.2
1958-07-09,195879,9,7,1958,12.3,24.2
1958-07-10,1958710,10,7,1958,12.6,26.1
1958-07-11,1958711,11,7,1958,14,27.3
1958-07-12,1958712,12,7,1958,14,26.8
1958-07-13,1958713,13,7,1958,10.4,28.1
1958-07-14,1958714,14,7,1958,7.6,21.4
1958-07-15,1958715,15,7,1958,15,25.1
1958-07-16,1958716,16,7,1958,10.8,24.6
1958-07-17,1958717,17,7,1958,8.4,19.1
1958-07-18,1958718,18,7,1958,9.9,22.3
1958-07-19,1958719,19,7,1958,14,27
1958-07-20,1958720,20,7,1958,13,24.1
1958-07-21,1958721,21,7,1958,13.1,19.2
1958-07-22,1958722,22,7,1958,11.5,18.3
1958-07-23,1958723,23,7,1958,9,17.6
1958-07-24,1958724,24,7,1958,9.7,18.8
1958-07-25,1958725,25,7,1958,12,20.6
1958-07-26,1958726,26,7,1958,11.5,22.5
1958-07-27,1958727,27,7,1958,14.9,22.4
1958-07-28,1958728,28,7,1958,18.1,24.3
1958-07-29,1958729,29,7,1958,13.8,23.7
1958-07-30,1958730,30,7,1958,8.8,23.1
1958-07-31,1958731,31,7,1958,9.3,24.4
1958-08-01,195881,1,8,1958,11.2,28.4
1958-08-02,195882,2,8,1958,8,21
1958-08-03,195883,3,8,1958,8,23.8
1958-08-04,195884,4,8,1958,12.9,20.8
1958-08-05,195885,5,8,1958,15.7,23.7
1958-08-06,195886,6,8,1958,10.5,21
1958-08-07,195887,7,8,1958,11.4,19.5
1958-08-08,195888,8,8,1958,15.5,21.4
1958-08-09,195889,9,8,1958,14.3,22.4
1958-08-10,1958810,10,8,1958,15.5,27.4
1958-08-11,1958811,11,8,1958,14.8,24.6
1958-08-12,1958812,12,8,1958,12.7,19
1958-08-13,1958813,13,8,1958,13.2,20.3
1958-08-14,1958814,14,8,1958,16.2,20.4
1958-08-15,1958815,15,8,1958,15.8,23.9
1958-08-16,1958816,16,8,1958,10,21.5
1958-08-17,1958817,17,8,1958,13.3,22.3
1958-08-18,1958818,18,8,1958,15.6,25.7
1958-08-19,1958819,19,8,1958,14.9,23.6
1958-08-20,1958820,20,8,1958,11.2,21
1958-08-21,1958821,21,8,1958,11.3,19.6
1958-08-22,1958822,22,8,1958,12.8,20.2
1958-08-23,1958823,23,8,1958,8.4,20
1958-08-24,1958824,24,8,1958,11.6,18.9
1958-08-25,1958825,25,8,1958,11.5,19.8
1958-08-26,1958826,26,8,1958,9,20.1
1958-08-27,1958827,27,8,1958,9.1,21.9
1958-08-28,1958828,28,8,1958,7.5,27.8
1958-08-29,1958829,29,8,1958,14.5,28.1
1958-08-30,1958830,30,8,1958,17,27.6
1958-08-31,1958831,31,8,1958,12.5,25.3
1958-09-01,195891,1,9,1958,11,24.3
1958-09-02,195892,2,9,1958,12.4,24.2
1958-09-03,195893,3,9,1958,11,22.6
1958-09-04,195894,4,9,1958,11.5,23.3
1958-09-05,195895,5,9,1958,13.1,25.4
1958-09-06,195896,6,9,1958,15,29
1958-09-07,195897,7,9,1958,14,27.3
1958-09-08,195898,8,9,1958,11.4,22.2
1958-09-09,195899,9,9,1958,13,20.4
1958-09-10,1958910,10,9,1958,11.5,19
1958-09-11,1958911,11,9,1958,7.5,17.6
1958-09-12,1958912,12,9,1958,5.9,17.6
1958-09-13,1958913,13,9,1958,9.5,22.2
1958-09-14,1958914,14,9,1958,12.2,26.4
1958-09-15,1958915,15,9,1958,13.9,27.9
1958-09-16,1958916,16,9,1958,14.1,19.2
1958-09-17,1958917,17,9,1958,11.9,17.1
1958-09-18,1958918,18,9,1958,8.3,18.4
1958-09-19,1958919,19,9,1958,10.8,20.8
1958-09-20,1958920,20,9,1958,10.5,21
1958-09-21,1958921,21,9,1958,9.5,16.9
1958-09-22,1958922,22,9,1958,10,18.6
1958-09-23,1958923,23,9,1958,11.9,18.5
1958-09-24,1958924,24,9,1958,11.5,19.3
1958-09-25,1958925,25,9,1958,10.5,15.8
1958-09-26,1958926,26,9,1958,10.7,14.5
1958-09-27,1958927,27,9,1958,5,15.4
1958-09-28,1958928,28,9,1958,7.4,17.2
1958-09-29,1958929,29,9,1958,11.3,22.1
1958-09-30,1958930,30,9,1958,12.5,18.4
1958-10-01,1958101,1,10,1958,8.4,15.4
1958-10-02,1958102,2,10,1958,7.5,16.8
1958-10-03,1958103,3,10,1958,9.5,16.9
1958-10-04,1958104,4,10,1958,10.2,19.5
1958-10-05,1958105,5,10,1958,8.4,17.4
1958-10-06,1958106,6,10,1958,2.9,12.9
1958-10-07,1958107,7,10,1958,5.6,15.5
1958-10-08,1958108,8,10,1958,11.2,17.3
1958-10-09,1958109,9,10,1958,13,18.9
1958-10-10,19581010,10,10,1958,11.1,19.9
1958-10-11,19581011,11,10,1958,10,12.8
1958-10-12,19581012,12,10,1958,5.5,13.6
1958-10-13,19581013,13,10,1958,7.1,13.3
1958-10-14,19581014,14,10,1958,10,14.2
1958-10-15,19581015,15,10,1958,7.5,13.4
1958-10-16,19581016,16,10,1958,5,9.4
1958-10-17,19581017,17,10,1958,4,12.2
1958-10-18,19581018,18,10,1958,5,11.5
1958-10-19,19581019,19,10,1958,7.7,10.6
1958-10-20,19581020,20,10,1958,7.23,11.9
1958-10-21,19581021,21,10,1958,2.2,11.4
1958-10-22,19581022,22,10,1958,3.3,10.2
1958-10-23,19581023,23,10,1958,4.9,12.5
1958-10-24,19581024,24,10,1958,7.3,11.3
1958-10-25,19581025,25,10,1958,8.5,11.2
1958-10-26,19581026,26,10,1958,3.5,11.9
1958-10-27,19581027,27,10,1958,0.5,10.9
1958-10-28,19581028,28,10,1958,0.5,15.9
1958-10-29,19581029,29,10,1958,2,9.7
1958-10-30,19581030,30,10,1958,1.6,10.6
1958-10-31,19581031,31,10,1958,2.4,9.5
1958-11-01,1958111,1,11,1958,1.5,10
1958-11-02,1958112,2,11,1958,3.4,7
1958-11-03,1958113,3,11,1958,5.9,6
1958-11-04,1958114,4,11,1958,5,8.2
1958-11-05,1958115,5,11,1958,4.4,10.4
1958-11-06,1958116,6,11,1958,2.9,12
1958-11-07,1958117,7,11,1958,4.3,11.4
1958-11-08,1958118,8,11,1958,6.5,9
1958-11-09,1958119,9,11,1958,3,9.6
1958-11-10,19581110,10,11,1958,3.5,5.9
1958-11-11,19581111,11,11,1958,2.9,5.7
1958-11-12,19581112,12,11,1958,0.6,4.6
1958-11-13,19581113,13,11,1958,0.5,5.5
1958-11-14,19581114,14,11,1958,5,7.9
1958-11-15,19581115,15,11,1958,6.7,7.1
1958-11-16,19581116,16,11,1958,3,9
1958-11-17,19581117,17,11,1958,4,8
1958-11-18,19581118,18,11,1958,4.2,8
1958-11-19,19581119,19,11,1958,0.5,9.5
1958-11-20,19581120,20,11,1958,4,5
1958-11-21,19581121,21,11,1958,3.5,6.5
1958-11-22,19581122,22,11,1958,3.4,5
1958-11-23,19581123,23,11,1958,2.5,5
1958-11-24,19581124,24,11,1958,1.1,5.2
1958-11-25,19581125,25,11,1958,-0.4,1.9
1958-11-26,19581126,26,11,1958,-0.6,2.8
1958-11-27,19581127,27,11,1958,2.4,5.8
1958-11-28,19581128,28,11,1958,1.9,5
1958-11-29,19581129,29,11,1958,1.15,3.95
1958-11-30,19581130,30,11,1958,0.4,2.9
1958-12-01,1958121,1,12,1958,-4.2,3.8
1958-12-02,1958122,2,12,1958,-4.2,1.3
1958-12-03,1958123,3,12,1958,-4.7,1.6
1958-12-04,1958124,4,12,1958,-0.2,3.5
1958-12-05,1958125,5,12,1958,2.2,5
1958-12-06,1958126,6,12,1958,-2.5,5
1958-12-07,1958127,7,12,1958,-5.5,0.9
1958-12-08,1958128,8,12,1958,-4.5,1.5
1958-12-09,1958129,9,12,1958,0.9,4.4
1958-12-10,19581210,10,12,1958,0.1,4.9
1958-12-11,19581211,11,12,1958,1.6,6.1
1958-12-12,19581212,12,12,1958,3.1,7.1
1958-12-13,19581213,13,12,1958,3.1,6.8
1958-12-14,19581214,14,12,1958,1.3,6.5
1958-12-15,19581215,15,12,1958,4,7.9
1958-12-16,19581216,16,12,1958,4.9,9.1
1958-12-17,19581217,17,12,1958,2.8,9
1958-12-18,19581218,18,12,1958,3.2,7.6
1958-12-19,19581219,19,12,1958,6.1,11.4
1958-12-20,19581220,20,12,1958,5,10.8
1958-12-21,19581221,21,12,1958,1.5,10.4
1958-12-22,19581222,22,12,1958,0.2,9.2
1958-12-23,19581223,23,12,1958,0.509090909,9.090909091
1958-12-24,19581224,24,12,1958,0.818181818,8.981818182
1958-12-25,19581225,25,12,1958,1.127272727,8.872727273
1958-12-26,19581226,26,12,1958,1.436363636,8.763636364
1958-12-27,19581227,27,12,1958,1.745454545,8.654545455
1958-12-28,19581228,28,12,1958,2.054545455,8.545454545
1958-12-29,19581229,29,12,1958,2.363636364,8.436363636
1958-12-30,19581230,30,12,1958,2.672727273,8.327272727
1958-12-31,19581231,31,12,1958,2.981818182,8.218181818
1959-01-01,195911,1,1,1959,3.290909091,8.109090909
1959-01-02,195912,2,1,1959,3.6,8
1959-01-03,195913,3,1,1959,2,5.2
1959-01-04,195914,4,1,1959,-1.1,2.1
1959-01-05,195915,5,1,1959,-1.5,3
1959-01-06,195916,6,1,1959,0.9,3.1
1959-01-07,195917,7,1,1959,1,8.1
1959-01-08,195918,8,1,1959,-0.3,8.6
1959-01-09,195919,9,1,1959,-1.5,2.2
1959-01-10,1959110,10,1,1959,-2.7,1.5
1959-01-11,1959111,11,1,1959,-3.5,0
1959-01-12,1959112,12,1,1959,-5.6,-0.3
1959-01-13,1959113,13,1,1959,-0.7,1.4
1959-01-14,1959114,14,1,1959,-2.2,2.1
1959-01-15,1959115,15,1,1959,-7.1,-1.7
1959-01-16,1959116,16,1,1959,-5.4,0.8
1959-01-17,1959117,17,1,1959,-8.6,-1.1
1959-01-18,1959118,18,1,1959,-3,3
1959-01-19,1959119,19,1,1959,-0.1,3.4
1959-01-20,1959120,20,1,1959,1.4,7.4
1959-01-21,1959121,21,1,1959,4.9,10.4
1959-01-22,1959122,22,1,1959,4.4,9
1959-01-23,1959123,23,1,1959,6.5,12.1
1959-01-24,1959124,24,1,1959,0.5,7.6
1959-01-25,1959125,25,1,1959,0,2.5
1959-01-26,1959126,26,1,1959,-0.5,3.4
1959-01-27,1959127,27,1,1959,-3.1,4.6
1959-01-28,1959128,28,1,1959,-2.6,4.7
1959-01-29,1959129,29,1,1959,-3.1,4.2
1959-01-30,1959130,30,1,1959,-3.9,6.1
1959-01-31,1959131,31,1,1959,-3.7,6.8
1959-02-01,195921,1,2,1959,-3.5,1.2
1959-02-02,195922,2,2,1959,-4.1,1.7
1959-02-03,195923,3,2,1959,-6.6,1.9
1959-02-04,195924,4,2,1959,-7.1,3.9
1959-02-05,195925,5,2,1959,-5.7,4.4
1959-02-06,195926,6,2,1959,-6.3,4.3
1959-02-07,195927,7,2,1959,-8.7,4.1
1959-02-08,195928,8,2,1959,-7,3
1959-02-09,195929,9,2,1959,-4,5.5
1959-02-10,1959210,10,2,1959,-3,6.3
1959-02-11,1959211,11,2,1959,-3.9,6.7
1959-02-12,1959212,12,2,1959,-4.9,1.5
1959-02-13,1959213,13,2,1959,-5.5,4.2
1959-02-14,1959214,14,2,1959,-4.5,1
1959-02-15,1959215,15,2,1959,-4.8,8
1959-02-16,1959216,16,2,1959,-3,9.4
1959-02-17,1959217,17,2,1959,-2,10
1959-02-18,1959218,18,2,1959,-2.5,6
1959-02-19,1959219,19,2,1959,-2.8,8.5
1959-02-20,1959220,20,2,1959,-3.9,8.6
1959-02-21,1959221,21,2,1959,2.1,12.5
1959-02-22,1959222,22,2,1959,1.1,5.7
1959-02-23,1959223,23,2,1959,1.1,4.4
1959-02-24,1959224,24,2,1959,4.4,10.4
1959-02-25,1959225,25,2,1959,-1.8,7.4
1959-02-26,1959226,26,2,1959,-1.5,15.2
1959-02-27,1959227,27,2,1959,3.5,14.8
1959-02-28,1959228,28,2,1959,0.8,16.9
1959-03-01,195931,1,3,1959,1,15
1959-03-02,195932,2,3,1959,2.1,14.3
1959-03-03,195933,3,3,1959,2.7,17.2
1959-03-04,195934,4,3,1959,7.4,12.7
1959-03-05,195935,5,3,1959,4.4,10.2
1959-03-06,195936,6,3,1959,4.8,14.8
1959-03-07,195937,7,3,1959,4.6,13.6
1959-03-08,195938,8,3,1959,2.6,12.5
1959-03-09,195939,9,3,1959,0.7,11.8
1959-03-10,1959310,10,3,1959,-0.1,11.7
1959-03-11,1959311,11,3,1959,-0.4,8.9
1959-03-12,1959312,12,3,1959,2.8,11.5
1959-03-13,1959313,13,3,1959,2.9,6.4
1959-03-14,1959314,14,3,1959,-4,6.4
1959-03-15,1959315,15,3,1959,-3.9,6.5
1959-03-16,1959316,16,3,1959,3.8,10.1
1959-03-17,1959317,17,3,1959,0,11
1959-03-18,1959318,18,3,1959,-2.7,9.6
1959-03-19,1959319,19,3,1959,-2,8.7
1959-03-20,1959320,20,3,1959,3.9,13
1959-03-21,1959321,21,3,1959,3.7,13.4
1959-03-22,1959322,22,3,1959,7.7,12.5
1959-03-23,1959323,23,3,1959,8,14.1
1959-03-24,1959324,24,3,1959,3.1,19
1959-03-25,1959325,25,3,1959,5.2,11.8
1959-03-26,1959326,26,3,1959,3.5,10.2
1959-03-27,1959327,27,3,1959,3,14.1
1959-03-28,1959328,28,3,1959,5.3,12.3
1959-03-29,1959329,29,3,1959,4.6,15
1959-03-30,1959330,30,3,1959,3.1,14.5
1959-03-31,1959331,31,3,1959,-0.1,13
1959-04-01,195941,1,4,1959,0,10.5
1959-04-02,195942,2,4,1959,5,18.5
1959-04-03,195943,3,4,1959,2.2,14.5
1959-04-04,195944,4,4,1959,3.9,17.1
1959-04-05,195945,5,4,1959,8.7,21.2
1959-04-06,195946,6,4,1959,1.2,15.6
1959-04-07,195947,7,4,1959,1.2,15.5
1959-04-08,195948,8,4,1959,0.5,7.9
1959-04-09,195949,9,4,1959,5.4,13.5
1959-04-10,1959410,10,4,1959,2.1,15.7
1959-04-11,1959411,11,4,1959,3.5,12.1
1959-04-12,1959412,12,4,1959,5.3,13.9
1959-04-13,1959413,13,4,1959,8.1,13.5
1959-04-14,1959414,14,4,1959,8.3,22.5
1959-04-15,1959415,15,4,1959,12.4,25.5
1959-04-16,1959416,16,4,1959,7.1,20.9
1959-04-17,1959417,17,4,1959,10.3,19.3
1959-04-18,1959418,18,4,1959,9,15.3
1959-04-19,1959419,19,4,1959,4.8,9.8
1959-04-20,1959420,20,4,1959,-1.4,7.5
1959-04-21,1959421,21,4,1959,-2.5,8.2
1959-04-22,1959422,22,4,1959,3.7,9.7
1959-04-23,1959423,23,4,1959,4.3,13.1
1959-04-24,1959424,24,4,1959,1.4,11.3
1959-04-25,1959425,25,4,1959,4.8,11.1
1959-04-26,1959426,26,4,1959,9.2,21
1959-04-27,1959427,27,4,1959,6.7,14
1959-04-28,1959428,28,4,1959,6.9,15
1959-04-29,1959429,29,4,1959,4.2,15
1959-04-30,1959430,30,4,1959,6.2,16
1959-05-01,195951,1,5,1959,6.5,19
1959-05-02,195952,2,5,1959,1.9,12.9
1959-05-03,195953,3,5,1959,2.5,10.1
1959-05-04,195954,4,5,1959,3.5,8
1959-05-05,195955,5,5,1959,0,10
1959-05-06,195956,6,5,1959,0,9.7
1959-05-07,195957,7,5,1959,2.5,18.5
1959-05-08,195958,8,5,1959,3.4,21.5
1959-05-09,195959,9,5,1959,7.5,22.5
1959-05-10,1959510,10,5,1959,8.5,27.5
1959-05-11,1959511,11,5,1959,9,27
1959-05-12,1959512,12,5,1959,7.5,26.5
1959-05-13,1959513,13,5,1959,3.1,28.3
1959-05-14,1959514,14,5,1959,4.5,22.3
1959-05-15,1959515,15,5,1959,3,18.7
1959-05-16,1959516,16,5,1959,2.9,20.5
1959-05-17,1959517,17,5,1959,9,20.6
1959-05-18,1959518,18,5,1959,10.3,21.7
1959-05-19,1959519,19,5,1959,9,14.5
1959-05-20,1959520,20,5,1959,9,16.5
1959-05-21,1959521,21,5,1959,9,20.5
1959-05-22,1959522,22,5,1959,9,24
1959-05-23,1959523,23,5,1959,9.8,22.6
1959-05-24,1959524,24,5,1959,3,22
1959-05-25,1959525,25,5,1959,7,22.5
1959-05-26,1959526,26,5,1959,8,21
1959-05-27,1959527,27,5,1959,7.7,16.5
1959-05-28,1959528,28,5,1959,7.9,14
1959-05-29,1959529,29,5,1959,5,10.8
1959-05-30,1959530,30,5,1959,3,8.5
1959-05-31,1959531,31,5,1959,9.8,12.1
1959-06-01,195961,1,6,1959,8.2,18.2
1959-06-02,195962,2,6,1959,9.2,21.2
1959-06-03,195963,3,6,1959,11.7,19.6
1959-06-04,195964,4,6,1959,10.4,24.4
1959-06-05,195965,5,6,1959,11.7,27.7
1959-06-06,195966,6,6,1959,11.5,27.3
1959-06-07,195967,7,6,1959,11.5,24.5
1959-06-08,195968,8,6,1959,12.7,16.6
1959-06-09,195969,9,6,1959,12.9,20.8
1959-06-10,1959610,10,6,1959,4.9,18
1959-06-11,1959611,11,6,1959,3.7,17.6
1959-06-12,1959612,12,6,1959,4.2,12.7
1959-06-13,1959613,13,6,1959,7.9,18.2
1959-06-14,1959614,14,6,1959,8.2,20
1959-06-15,1959615,15,6,1959,6,22.1
1959-06-16,1959616,16,6,1959,3.8,23.5
1959-06-17,1959617,17,6,1959,5.2,18
1959-06-18,1959618,18,6,1959,9.2,27.2
1959-06-19,1959619,19,6,1959,8.6,28
1959-06-20,1959620,20,6,1959,5,23
1959-06-21,1959621,21,6,1959,10.2,25.7
1959-06-22,1959622,22,6,1959,16.5,30
1959-06-23,1959623,23,6,1959,15.4,24.3
1959-06-24,1959624,24,6,1959,13.3,23
1959-06-25,1959625,25,6,1959,8.5,28.4
1959-06-26,1959626,26,6,1959,13.3,28.2
1959-06-27,1959627,27,6,1959,14,23.5
1959-06-28,1959628,28,6,1959,15.2,22.5
1959-06-29,1959629,29,6,1959,10.4,21.3
1959-06-30,1959630,30,6,1959,11.9,18.8
1959-07-01,195971,1,7,1959,12,20.1
1959-07-02,195972,2,7,1959,14,20.1
1959-07-03,195973,3,7,1959,14.7,20.9
1959-07-04,195974,4,7,1959,13.2,21
1959-07-05,195975,5,7,1959,11.5,26.5
1959-07-06,195976,6,7,1959,19.6,30.5
1959-07-07,195977,7,7,1959,11.8,30.3
1959-07-08,195978,8,7,1959,11.2,27.9
