"chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","distance"
"134620_99999","PODGORICA / GOLUBOVCI","MJ",42.367,19.25,19520101,20210206,637.45
"607140_99999","SIDI AHMED AIR BASE","TS",37.245,9.791,19430805,20210206,640.95
"136100_99999","KUKES","AL",42.033,20.417,19730106,20210206,641.82
"607690_99999","ZARZIS","TS",33.875,10.775,19660722,20210206,656.34
"166220_99999","MAKEDONIA","GR",40.52,22.971,19600701,20210206,657.4
"162450_99999","PRATICA DI MARE","IT",41.659,12.445,19660923,20210206,657.79
"162300_99999","PESCARA","IT",42.432,14.181,19650201,20210206,659.81
"620070_99999","ZUARA","LY",32.555,12.056,19490129,20210206,660.19
"167460_99999","SOUDA","GR",35.532,24.15,19321101,20210206,661.48
"162390_99999","CIAMPINO","IT",41.799,12.595,19511001,20210206,662.65
"167380_99999","MILOS","GR",36.733,24.433,19321101,20210206,664.44
"162340_99999","GUIDONIA","IT",41.99,12.741,19660923,20210205,672.98
"135920_99999","DEMIR KAPIJA","MK",41.417,22.25,19730101,20210206,676.92
"162420_99999","FIUMICINO","IT",41.804,12.251,19650701,20210206,680.43
"162350_99999","URBE","IT",41.952,12.499,19730101,20210206,681.08
"620590_99999","DERNA","LY",32.783,22.583,19490129,20210206,685.58
"135860_99999","SKOPJE","MK",41.962,21.621,19280106,20210206,689.13
"166840_99999","SKIROS","GR",38.968,24.487,19491001,20210206,697.94
"165640_99999","CAPE CARBONARA","IT",39.1,9.517,19730101,20210206,699.9
"135910_99999","STIP","MK",41.75,22.183,19730102,20210206,700.34
"162240_99999","VIGNA DI VALLE(MIL)","IT",42.083,12.217,19730101,20210206,706.67
"165420_99999","CAPE S. LORENZO","IT",39.5,9.617,19730101,20210205,706.95
"162190_99999","TERMINILLO MOUNTAIN","IT",42.467,12.983,19650201,20210206,707.11
"162210_99999","RIETI","IT",42.417,12.85,19731213,20210206,707.96
"607650_99999","GABES","TS",33.877,10.103,19490101,20210206,709.35
"133480_99999","MOSTAR","BK",43.283,17.846,19360701,20210206,712.72
"165500_99999","CAPE BELLAVISTA","IT",39.933,9.717,19660104,20210206,718.44
"162140_99999","CIVITAVECCHIA","IT",42.017,11.817,19450305,20210206,721.49
"165410_99999","PERDASDEFOGU","IT",39.667,9.433,19730101,20210204,728.58
"167590_99999","TYMBAKION (AIRPORT)","GR",35.066,24.75,19420108,20210204,728.74
"607250_99999","JENDOUBA","TS",36.483,8.8,19430630,20210206,732.93
"166060_99999","SERRAI","GR",41.067,23.567,19321101,20210206,733.94
"165600_99999","ELMAS","IT",39.251,9.054,19431101,20210206,743.14
"133630_99999","PLEVLJA","MJ",43.35,19.35,19360102,20210206,744.08
