"species","cultivar","location","repetition","split","year","pheno","measurement_type"
"Pistachio","Mateur","Sfax",10,"Calibration","2003",112,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration","2005",101,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration","2006",95,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration","2007",125,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration","2008",102,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration","2009",97,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration","2012",106,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration","2013",109,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration","2014",112,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration","2015",99,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration","2016",121,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration","2017",100,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Calibration","2019",104,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Validation","1998",109,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Validation","1999",95,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Validation","2004",111,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Validation","2010",114,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Validation","2011",94,"flowering_f50"
"Pistachio","Mateur","Sfax",10,"Validation","2018",99,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration","1997",121,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration","1998",117,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration","2000",108,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration","2005",107,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration","2006",104,"flowering_f50"
"Pistachio","Ohadi","Sfax",1,"Calibration","2007",130,"flowering_f50"
